iter   940 | reward +0.776 | regret[first10] 0.789 -> regret[last10] 0.694 | policy_loss +0.0006 | entropy 0.313 | entropy_coef 0.0052
iter   950 | reward +0.760 | regret[first10] 0.741 -> regret[last10] 0.687 | policy_loss +0.0010 | entropy 0.365 | entropy_coef 0.0052
iter   960 | reward +0.755 | regret[first10] 0.695 -> regret[last10] 0.658 | policy_loss +0.0008 | entropy 0.313 | entropy_coef 0.0051
iter   970 | reward +0.736 | regret[first10] 0.747 -> regret[last10] 0.648 | policy_loss +0.0004 | entropy 0.323 | entropy_coef 0.0051
iter   980 | reward +0.721 | regret[first10] 0.688 -> regret[last10] 0.640 | policy_loss +0.0005 | entropy 0.316 | entropy_coef 0.0050
iter   990 | reward +0.772 | regret[first10] 0.694 -> regret[last10] 0.633 | policy_loss +0.0005 | entropy 0.309 | entropy_coef 0.0049
iter  1000 | reward +0.796 | regret[first10] 0.663 -> regret[last10] 0.650 | policy_loss +0.0024 | entropy 0.292 | entropy_coef 0.0049
iter  1010 | reward +0.818 | regret[first10] 0.654 -> regret[last10] 0.664 | policy_loss +0.0007 | entropy 0.276 | entropy_coef 0.0048
iter  1020 | reward +0.748 | regret[first10] 0.677 -> regret[last10] 0.638 | policy_loss +0.0031 | entropy 0.292 | entropy_coef 0.0047
iter  1030 | reward +0.827 | regret[first10] 0.707 -> regret[last10] 0.585 | policy_loss +0.0026 | entropy 0.275 | entropy_coef 0.0047
iter  1040 | reward +0.767 | regret[first10] 0.687 -> regret[last10] 0.639 | policy_loss +0.0010 | entropy 0.280 | entropy_coef 0.0046
iter  1050 | reward +0.734 | regret[first10] 0.694 -> regret[last10] 0.656 | policy_loss +0.0033 | entropy 0.326 | entropy_coef 0.0046
iter  1060 | reward +0.734 | regret[first10] 0.747 -> regret[last10] 0.634 | policy_loss +0.0010 | entropy 0.331 | entropy_coef 0.0045
iter  1070 | reward +0.777 | regret[first10] 0.608 -> regret[last10] 0.580 | policy_loss +0.0018 | entropy 0.294 | entropy_coef 0.0044
iter  1080 | reward +0.814 | regret[first10] 0.763 -> regret[last10] 0.649 | policy_loss +0.0024 | entropy 0.305 | entropy_coef 0.0044
iter  1090 | reward +0.671 | regret[first10] 0.632 -> regret[last10] 0.625 | policy_loss +0.0020 | entropy 0.325 | entropy_coef 0.0043
iter  1100 | reward +0.776 | regret[first10] 0.700 -> regret[last10] 0.634 | policy_loss +0.0018 | entropy 0.271 | entropy_coef 0.0042
iter  1110 | reward +0.815 | regret[first10] 0.686 -> regret[last10] 0.598 | policy_loss +0.0006 | entropy 0.287 | entropy_coef 0.0042
iter  1120 | reward +0.759 | regret[first10] 0.670 -> regret[last10] 0.702 | policy_loss +0.0018 | entropy 0.260 | entropy_coef 0.0041
iter  1130 | reward +0.837 | regret[first10] 0.725 -> regret[last10] 0.593 | policy_loss +0.0019 | entropy 0.239 | entropy_coef 0.0041
iter  1140 | reward +0.743 | regret[first10] 0.727 -> regret[last10] 0.641 | policy_loss +0.0008 | entropy 0.279 | entropy_coef 0.0040
iter  1150 | reward +0.770 | regret[first10] 0.695 -> regret[last10] 0.651 | policy_loss +0.0006 | entropy 0.238 | entropy_coef 0.0039
iter  1160 | reward +0.775 | regret[first10] 0.680 -> regret[last10] 0.629 | policy_loss +0.0014 | entropy 0.201 | entropy_coef 0.0039
iter  1170 | reward +0.696 | regret[first10] 0.724 -> regret[last10] 0.591 | policy_loss +0.0032 | entropy 0.210 | entropy_coef 0.0038
iter  1180 | reward +0.778 | regret[first10] 0.694 -> regret[last10] 0.635 | policy_loss +0.0025 | entropy 0.224 | entropy_coef 0.0037
